Number,Text
1,The birch canoe slid on the smooth planks.
2,Glue the sheet to the dark blue background.
3,It's easy to tell the depth of a well.
4,These days a chicken leg is a rare dish.
5,Rice is often served in round bowls.
6,The juice of lemons makes fine punch.
7,The box was thrown beside the parked truck.
8,The hogs were fed chopped corn and garbage.
9,Four hours of steady work faced us.
10,Large size in stockings is hard to sell.
11,The boy was there when the sun rose.
12,A rod is used to catch pink salmon.
13,The source of the huge river is the clear spring.
14,Kick the ball straight and follow through.
15,Help the woman get back to her feet.
16,A pot of tea helps to pass the evening.
17,Smoky fires lack flame and heat.
18,The soft cushion broke the man's fall.
19,The salt breeze came across from the sea.
20,The girl at the booth sold fifty bonds.
21,The small pup gnawed a hole in the sock.
22,The fish twisted and turned on the bent hook.
23,Press the pants and sew a button on the vest.
24,The swan dive was far short of perfect.
25,The beauty of the view stunned the young boy.
26,Two blue fish swam in the tank.
27,Her purse was full of useless trash.
28,The colt reared and threw the tall rider.
29,"It snowed, rained, and hailed the same morning."
30,Read verse out loud for pleasure.
31,Hoist the load to your left shoulder.
32,Take the winding path to reach the lake.
33,Note closely the size of the gas tank.
34,Wipe the grease off his dirty face.
35,Mend the coat before you go out.
36,The wrist was badly strained and hung limp.
37,The stray cat gave birth to kittens.
38,The young girl gave no clear response.
39,The meal was cooked before the bell rang.
40,What joy there is in living.
41,A king ruled the state in the early days.
42,The ship was torn apart on the sharp reef.
43,Sickness kept him home the third week.
44,The wide road shimmered in the hot sun.
45,The lazy cow lay in the cool grass.
46,Lift the square stone over the fence.
47,The rope will bind the seven books at once.
48,Hop over the fence and plunge in.
49,The friendly gang left the drug store.
50,Mesh wire keeps chicks inside.
51,The frosty air passed through the coat.
52,The crooked maze failed to fool the mouse.
53,Adding fast leads to wrong sums.
54,The show was a flop from the very start.
55,A saw is a tool used for making boards.
56,The wagon moved on well oiled wheels.
57,March the soldiers past the next hill.
58,A cup of sugar makes sweet fudge.
59,Place a rosebush near the porch steps.
60,Both lost their lives in the raging storm.
61,We talked of the slide show in the circus.
62,Use a pencil to write the first draft.
63,He ran half way to the hardware store.
64,The clock struck to mark the third period.
65,A small creek cut across the field.
66,Cars and busses stalled in snow drifts.
67,"The set of china hit, the floor with a crash."
68,This is a grand season for hikes on the road.
69,The dune rose from the edge of the water.
70,Those words were the cue for the actor to leave.
71,A yacht slid around the point into the bay.
72,The two met while playing on the sand.
73,The ink stain dried on the finished page.
74,The walled town was seized without a fight.
75,The lease ran out in sixteen weeks.
76,A tame squirrel makes a nice pet.
77,The horn of the car woke the sleeping cop.
78,The heart beat strongly and with firm strokes.
79,The pearl was worn in a thin silver ring.
80,The fruit peel was cut in thick slices.
81,The Navy attacked the big task force.
82,See the cat glaring at the scared mouse.
83,There are more than two factors here.
84,The hat brim was wide and too droopy.
85,The lawyer tried to lose his case.
86,The grass curled around the fence post.
87,Cut the pie into large parts.
88,Men strive but seldom get rich.
89,Always close the barn door tight.
90,He lay prone and hardly moved a limb.
91,Oak is strong and also gives shade.
92,Cats and dogs each hate the other.
93,The pipe began to rust while new.
94,Open the crate but don't brake the glass.
95,Add the sum to the product of these three.
96,Thieves who rob friends deserve jail.
97,The ripe taste of cheese improves with age.
98,Act on these orders with great speed.
99,The dog crawled under the high fence.
100,Move the vat over the hot fire.
